id;full_name;email;hashed_password;is_active	
1;marek marecki;mail@email.com;somepassword;1
2;marek marecki;mail@email.com;somepassword;1
3;marek marecki;mail@email.com;somepassword;1
4;marek marecki;mail@email.com;somepassword;1
5;marek marecki;mail@email.com;somepassword;1
6;marek marecki;mail@email.com;somepassword;1
7;marek marecki;mail@email.com;somepassword;1
8;marek marecki;mail@email.com;somepassword;1
9;marek marecki;mail@email.com;somepassword;1
10;marek marecki;mail@email.com;somepassword;1
